Player,3P,2P,PTS,Salary
Javonte Green,0.1,1.0,3.0,898310
Jaxson Hayes,0.0,2.9,7.9,4862040
Jaylen Brown,2.1,5.4,20.2,6534829
Jaylen Nowell,0.3,1.2,4.4,1400000
Jayson Tatum,2.6,5.5,22.4,7830000
Jeff Green,1.1,1.4,7.8,2564753
Jeff Green,1.1,1.4,7.8,144902
Jeff Teague,0.8,3.0,11.3,19000000
Jeff Teague,1.0,3.3,13.2,19000000
Jeff Teague,0.3,2.1,6.9,19000000
Jerami Grant,1.4,2.7,11.3,9346153
Jeremy Lamb,1.2,3.7,12.9,10500000
Jeremy Pargo,1.0,2.7,8.3,91558
Jerome Robinson,0.5,0.6,3.0,3567720
Jerome Robinson,0.5,0.6,2.9,3567720
Jerome Robinson,1.0,0.7,4.7,3567720
Jevon Carter,0.9,0.7,4.3,1416852
Jimmy Butler,0.6,5.6,20.6,32742000
Joe Harris,2.4,2.8,13.8,7670000
Joe Ingles,2.0,1.5,10.0,11954546
Joel Embiid,1.3,6.1,22.9,27504630
John Collins,1.3,7.1,20.6,2686560
John Henson,0.2,2.0,5.1,9732396
John Henson,0.2,1.9,5.0,9732396
John Henson,0.0,3.0,6.3,9732396
Johnathan Williams,0.0,1.5,3.2,106181
Jonah Bolden,0.0,0.8,2.0,1698450
Jonah Bolden,0.0,0.8,2.0,81678
Jonah Bolden,0.0,0.5,1.0,1698450
Jonah Bolden,0.0,0.5,1.0,81678
Jonah Bolden,0.0,2.0,6.0,1698450
Jonah Bolden,0.0,2.0,6.0,81678
Jonas Valančiūnas,0.5,5.7,14.9,16000000
Jonathan Isaac,0.9,3.7,12.0,5806440
Jordan Bell,0.1,1.1,3.1,1620564
Jordan Clarkson,2.2,3.4,15.3,13437500
Jordan Clarkson,2.0,2.9,14.6,13437500
Jordan Clarkson,2.3,3.9,16.2,13437500
Jordan McRae,1.4,3.0,12.2,1645357
Jordan McRae,1.4,3.2,12.8,1645357
Jordan McRae,1.0,0.0,4.5,1645357
Jordan Poole,1.2,1.3,7.8,1964760
Josh Hart,2.1,1.6,10.6,1934160
Josh Jackson,0.4,1.7,6.0,7059480
Josh Magette,0.1,0.5,1.5,81678
Josh Okogie,0.6,2.1,8.6,2530680
Josh Richardson,1.6,3.8,14.6,10100000
Jrue Holiday,2.0,5.6,19.3,26131111
Juan Hernangómez,0.6,0.9,4.1,3321030
Juan Hernangómez,0.4,0.7,3.1,3321030
Juan Hernangómez,2.0,3.0,15.0,3321030
Juan Toscano-Anderson,0.7,1.0,4.0,350189
Julius Randle,1.0,6.2,19.3,18000000
Justin Anderson,0.0,0.3,1.0,98144
Justin Holiday,1.8,1.0,8.3,4767000
Justin Jackson,0.8,1.4,5.8,3280920
Justin James,0.3,0.8,2.7,898310
Justin Patton,0.2,0.6,1.8,1620564
Justin Robinson,0.3,0.2,1.4,395866
Justise Winslow,0.5,4.0,11.3,13000000
Juwan Morgan,0.1,0.5,1.2,746054
KZ Okpala,0.0,0.6,1.4,898310
Karl-Anthony Towns,3.3,5.8,26.5,27250000
